Number of Iterations: 216
X Poses,Y Poses
Iteration 40,"[[-1.2683012479932194, -0.7949613866552364, -0.9893485265174987, 0.10625286730550199, -0.1428760602064391], [-0.3276002435068908, -0.4536878124493203, 0.4752446380281738, 0.3475256120353456, -0.3099677012172216]]"
Iteration 41,"[[-1.2686163347228472, -0.7906986377213563, -0.9890509588502919, 0.1128325136285937, -0.13705915129618745], [-0.3285216454371103, -0.4567556969232286, 0.4759618931211191, 0.3473920936935262, -0.3130314803560393]]"
Iteration 42,"[[-1.2688932669958979, -0.7864365636945287, -0.9886175136015336, 0.11940426416892283, -0.131242494297872], [-0.3294562264031248, -0.45969590473460903, 0.4765665884992903, 0.34724898463608705, -0.31608719032462884]]"
Iteration 43,"[[-1.2691189505429687, -0.7822303156419542, -0.9881456923562721, 0.1259760992019337, -0.1254270457046064], [-0.3303437206000919, -0.4626399867605685, 0.477160290852644, 0.34710267425797675, -0.31913085580587414]]"
Iteration 44,"[[-1.269262183198918, -0.7780336725877326, -0.9876528452019462, 0.13255106383219406, -0.11961474258217272], [-0.3312270228193459, -0.4654569588862637, 0.477719366831743, 0.3469559738392365, -0.32215484423645946]]"
Iteration 45,"[[-1.2693974352432187, -0.7738200221022756, -0.9870907004470371, 0.1391323243621099, -0.1138062100565439], [-0.3320724541597377, -0.46811033022011367, 0.47823642891081, 0.3468121651339668, -0.3251540259544749]]"
Iteration 46,"[[-1.2694933944344604, -0.76963603510761, -0.9865042724554212, 0.14571264445855708, -0.10799647123358323], [-0.3329087005966098, -0.47064012780585457, 0.47871182636899845, 0.34666538472739117, -0.3281391349099983]]"
Iteration 47,"[[-1.2695887644070172, -0.7655186596553981, -0.985884344626025, 0.15228860067373554, -0.10218298562454783], [-0.33372572365353503, -0.47313037684891274, 0.4791407961525185, 0.3465123959174174, -0.3311162337452509]]"
Iteration 48,"[[-1.2696054074383925, -0.7614069440462322, -0.9852826287614365, 0.15886636497259646, -0.09636777500594408], [-0.3345311172283157, -0.4755522554785599, 0.47956353198582546, 0.3463583266853132, -0.3340793270656572]]"
Iteration 49,"[[-1.2696181925417758, -0.7573727517736818, -0.9846585363315496, 0.1654410586423352, -0.09054879832683499], [-0.33530128456664954, -0.47789273037217406, 0.4799648580490005, 0.3461989461320014, -0.33703311527602725]]"
Iteration 50,"[[-1.2695812124340229, -0.753283466124051, -0.9839678245514581, 0.17202717997434191, -0.08473357563699795], [-0.3360188256322141, -0.48013522862612196, 0.48036400417902936, 0.3460471248681457, -0.339955540371468]]"
Iteration 51,"[[-1.2695073248324305, -0.7492698091682232, -0.9832694105789134, 0.17861836060819375, -0.07891870701369924], [-0.336734822985728, -0.48229830706768984, 0.480728262272006, 0.3458984271338383, -0.34285190824575656]]"
