Number of Iterations: 245
X Poses,Y Poses
Iteration 85,"[[1.2607117557774008, 0.7203296798513282, 0.9547509179378169, -0.22360600062335584, 0.026121747802441427], [0.2984781764420508, 0.5063689439167159, -0.5372648484392157, -0.34729851790064764, 0.40308581905501645]]"
Iteration 86,"[[1.2595630456338867, 0.715958597296793, 0.9531188162475569, -0.22886655087553093, 0.02003564089388541], [0.29860295435617307, 0.5066636548457302, -0.5373480149654349, -0.3467633292054607, 0.40500893882827643]]"
Iteration 87,"[[1.2583897313484695, 0.7115608087606373, 0.9515522584870317, -0.23421536832116185, 0.013933904184262408], [0.29878180302237434, 0.5068353297790213, -0.5373974666687801, -0.34623221856133035, 0.40692123752450876]]"
Iteration 88,"[[1.2572268862552727, 0.7071418877840216, 0.9499635652327036, -0.23964599157158803, 0.007823499515474341], [0.2989923551207166, 0.5070005452390077, -0.5373909119195173, -0.3457141300285037, 0.40881147410884255]]"
Iteration 89,"[[1.2560114883670959, 0.702820414616033, 0.9483761103252406, -0.24515855070098974, 0.0016990628698906399], [0.2991793927260433, 0.5072415183963037, -0.5374153843725725, -0.34520498585938375, 0.41069026916657475]]"
Iteration 90,"[[1.2548145371564288, 0.6984762912109844, 0.9468120753415349, -0.2507411930203789, -0.004434159606816382], [0.2994152401350706, 0.5074361951098845, -0.5373819722282817, -0.34471970508357874, 0.4125495568718388]]"
Iteration 91,"[[1.2536290282794678, 0.6941327688920417, 0.9451988411395649, -0.2563870211137875, -0.010575448754603527], [0.2995758135376721, 0.507563228098116, -0.5373909981174166, -0.3442643360079541, 0.41438857617583924]]"
Iteration 92,"[[1.2524068541388127, 0.6897257726025843, 0.9436370075511611, -0.2620832987804738, -0.016721561386443876], [0.29975330324847466, 0.5076852453572537, -0.5374048863820269, -0.34385325942849315, 0.4162017666784072]]"
Iteration 93,"[[1.2511919514645553, 0.6853354153656357, 0.9420535625768309, -0.2678384842563952, -0.022875345678410052], [0.29995049836191673, 0.5077497090638715, -0.537378189420863, -0.3434698598741726, 0.41799403003597824]]"
Iteration 94,"[[1.249969304817696, 0.6809776531147023, 0.9404791314974561, -0.27365189527012335, -0.029041417488777338], [0.300126042398517, 0.5077519918437416, -0.537369657460966, -0.34311026539337885, 0.41977412045206125]]"
Iteration 95,"[[1.2487590158972803, 0.6766048883209345, 0.9388875787458202, -0.2795217026809246, -0.035218925623352396], [0.3003359901375597, 0.5076409077880751, -0.5373063058413274, -0.3427720352965181, 0.42154198784050656]]"
Iteration 96,"[[1.247583773177496, 0.6722590304650556, 0.9372592734962577, -0.28543716553908444, -0.041403439799496], [0.30046433206326834, 0.5075309084408379, -0.5372894123488585, -0.34246437201631763, 0.42329105380782056]]"
Iteration 97,"[[1.2464159970805229, 0.6679401928845659, 0.9356495163544567, -0.29139234242848844, -0.04759252952245953], [0.3006213496391063, 0.5073927412576881, -0.5372391380348202, -0.34219061225002395, 0.42501736631226866]]"
Iteration 98,"[[1.245202970273333, 0.663644893989034, 0.934011766586606, -0.2973896340873467, -0.05379088009426944], [0.3007749439709985, 0.5072414413018548, -0.537189286726185, -0.34194389016104254, 0.4267289966261128]]"
Iteration 99,"[[1.2439653232242938, 0.65932896519089, 0.9323956206582343, -0.30341794597388916, -0.05999490000086157], [0.3009787500490904, 0.5070407154544215, -0.5370978360128239, -0.3417336529725265, 0.4284205691260512]]"
Iteration 100,"[[1.242754409722363, 0.6550040267470598, 0.9307509772071443, -0.3094745991591268, -0.06619951238711999], [0.3011533308214996, 0.5068492429738736, -0.5370050988133136, -0.3415598878936813, 0.43008340173872184]]"
Iteration 101,"[[1.2415129314439795, 0.6506067327787739, 0.9291211378957959, -0.3155652046883105, -0.07241490962065997], [0.30136038888734396, 0.5065971278194417, -0.5368887526313642, -0.34141305693953483, 0.4317340386546465]]"
Iteration 102,"[[1.240279036034408, 0.6461927502109067, 0.9275109460033275, -0.321676266961758, -0.07863075773457451], [0.3015888190411432, 0.5062977650906283, -0.536748272183853, -0.3413051418337069, 0.43335607523171077]]"
Iteration 103,"[[1.2390551069204712, 0.6418339304978782, 0.9258826614705002, -0.32781503949296814, -0.0848513816120754], [0.30184566350660685, 0.5059610990701113, -0.5365617702514918, -0.3412256923217772, 0.4349558707383832]]"
Iteration 104,"[[1.2378705871750895, 0.6375210320880332, 0.9242671012677672, -0.3339821214773763, -0.09108089044260753], [0.30209217185711207, 0.5056547508785403, -0.5363695287670307, -0.341171109120472, 0.4365402890519206]]"
Iteration 105,"[[1.236721013712915, 0.6331794217227775, 0.9226641316823612, -0.34016289918115905, -0.0973142262706357], [0.3023179535509007, 0.5053270602075082, -0.5361839135659532, -0.3411542563758672, 0.43810172931473246]]"
Iteration 106,"[[1.2355190465158703, 0.628873531821425, 0.9210528338479795, -0.34636450483844783, -0.10355053210896134], [0.30250894224319513, 0.5051029224559033, -0.5360430111537171, -0.341165848500322, 0.4396385760280381]]"
Iteration 107,"[[1.2341850086994228, 0.6244854832892127, 0.9194733711376792, -0.352578228997276, -0.10979232045490614], [0.302802220431423, 0.5048192756980744, -0.5358538608980323, -0.34121272955234844, 0.4411545938871315]]"
Iteration 108,"[[1.2328668166847248, 0.6201087296383332, 0.91781589569066, -0.3588200242964809, -0.11604469890172611], [0.3029595623032605, 0.5044532526115962, -0.535759126494874, -0.3412768547122638, 0.4426582709881257]]"
Iteration 109,"[[1.2315930145765819, 0.6157378025094153, 0.9161517309303158, -0.36507369950491064, -0.12229874882570217], [0.3031178097559, 0.5041128983145997, -0.5356386793338151, -0.34137178410283026, 0.4441363805274223]]"
Iteration 110,"[[1.230353782824781, 0.6114220605074622, 0.9144604588742137, -0.3713523499757008, -0.12856117380696994], [0.30325366289504074, 0.5037181799248953, -0.5355117617567284, -0.34148283584016687, 0.4455991427565485]]"
Iteration 111,"[[1.2290949249818999, 0.6071292891681923, 0.9127642105398723, -0.37764244011987197, -0.13482572546970764], [0.3034673652307443, 0.5032525736467548, -0.5353065062194019, -0.34162079278788815, 0.4470373761456678]]"
Iteration 112,"[[1.227799544493727, 0.6028438352079857, 0.9110894576035573, -0.38395416665460935, -0.14110298835790824], [0.3036992808484825, 0.502757739622613, -0.5350980961713446, -0.3417742002825624, 0.44846742247455706]]"
Iteration 113,"[[1.2265104028731908, 0.5985371122537724, 0.9093846251651314, -0.3902604914356448, -0.14736934870965307], [0.30392942923129923, 0.5023753677539256, -0.5348741966307934, -0.34196701947581887, 0.44985379837439843]]"
Iteration 114,"[[1.225215895687857, 0.5942227360018876, 0.907689029905099, -0.39658684330578164, -0.15364940354588397], [0.30413160797896904, 0.5020150326339032, -0.5346785278562654, -0.3421749735430932, 0.45123202140565366]]"
Iteration 115,"[[1.2238878300516016, 0.5898319639461271, 0.9060079235115764, -0.40291036138478487, -0.15992890085125833], [0.3043486876458084, 0.5015540448461446, -0.5344807207139416, -0.34241763981674606, 0.4525818034144388]]"
